0.63, 1.00, 0.79, 0.88, 245, 1, 67, 81.39, dummy_name
0.64, 1.00, 0.79, 0.88, 245, 1, 67, 81.39, dummy_name
0.65, 1.00, 0.78, 0.87, 243, 1, 69, 81.41, dummy_name
0.66, 1.00, 0.77, 0.87, 240, 1, 72, 81.62, dummy_name
0.67, 1.00, 0.76, 0.86, 236, 1, 76, 81.63, dummy_name
0.68, 1.00, 0.76, 0.86, 236, 1, 76, 81.63, dummy_name
0.69, 1.00, 0.73, 0.85, 229, 1, 83, 81.76, dummy_name
0.70, 1.00, 0.73, 0.84, 228, 1, 84, 81.83, dummy_name
0.71, 1.00, 0.72, 0.84, 225, 1, 87, 81.84, dummy_name
0.72, 1.00, 0.71, 0.83, 222, 1, 90, 81.90, dummy_name
0.73, 1.00, 0.70, 0.82, 218, 1, 94, 81.90, dummy_name
0.74, 1.00, 0.70, 0.82, 218, 1, 94, 81.90, dummy_name
0.75, 1.00, 0.69, 0.81, 215, 1, 97, 81.90, dummy_name
0.76, 1.00, 0.67, 0.80, 208, 1, 104, 81.85, dummy_name
0.77, 1.00, 0.66, 0.79, 206, 1, 106, 81.87, dummy_name
0.78, 1.00, 0.66, 0.79, 205, 1, 107, 81.85, dummy_name
0.79, 1.00, 0.65, 0.79, 203, 1, 109, 81.89, dummy_name
0.80, 1.00, 0.64, 0.78, 200, 1, 112, 81.83, dummy_name
0.81, 0.99, 0.63, 0.77, 197, 1, 115, 81.90, dummy_name
0.82, 0.99, 0.62, 0.77, 194, 1, 118, 81.88, dummy_name
0.83, 0.99, 0.62, 0.76, 192, 1, 120, 81.87, dummy_name
0.84, 0.99, 0.60, 0.75, 188, 1, 124, 81.74, dummy_name
0.85, 0.99, 0.60, 0.75, 187, 1, 125, 81.77, dummy_name
0.86, 0.99, 0.59, 0.74, 183, 1, 129, 81.72, dummy_name
0.87, 0.99, 0.58, 0.73, 180, 1, 132, 81.75, dummy_name
0.88, 0.99, 0.57, 0.73, 178, 1, 134, 81.90, dummy_name
0.89, 0.99, 0.56, 0.71, 174, 1, 138, 82.06, dummy_name
0.90, 0.99, 0.54, 0.70, 168, 1, 144, 82.32, dummy_name
0.91, 0.99, 0.52, 0.68, 161, 1, 151, 82.46, dummy_name
0.92, 0.99, 0.51, 0.67, 158, 1, 154, 82.64, dummy_name
0.93, 0.99, 0.48, 0.65, 149, 1, 163, 82.72, dummy_name
0.94, 0.99, 0.46, 0.63, 144, 1, 168, 82.70, dummy_name
0.95, 0.99, 0.45, 0.62, 141, 1, 171, 82.74, dummy_name
0.96, 0.99, 0.44, 0.61, 138, 1, 174, 82.83, dummy_name
0.97, 0.99, 0.42, 0.59, 132, 1, 180, 82.97, dummy_name
0.98, 0.99, 0.36, 0.53, 112, 1, 200, 82.98, dummy_name
0.99, 0.99, 0.25, 0.40, 79, 1, 233, 83.05, dummy_name
