0.50, 0.90, 0.59, 0.71, 216, 24, 151, 65.80
0.51, 0.90, 0.59, 0.71, 215, 24, 152, 65.73
0.52, 0.90, 0.58, 0.71, 213, 24, 154, 65.82
0.53, 0.91, 0.58, 0.71, 212, 22, 155, 66.40
0.54, 0.91, 0.57, 0.70, 211, 22, 156, 66.32
0.55, 0.90, 0.57, 0.70, 208, 22, 159, 66.15
0.56, 0.91, 0.56, 0.69, 206, 21, 161, 66.34
0.57, 0.91, 0.55, 0.69, 203, 19, 164, 66.64
0.58, 0.92, 0.55, 0.69, 202, 18, 165, 66.95
0.59, 0.92, 0.53, 0.67, 196, 18, 171, 66.69
0.60, 0.92, 0.52, 0.67, 192, 17, 175, 66.72
0.61, 0.92, 0.52, 0.66, 190, 17, 177, 66.50
0.62, 0.92, 0.51, 0.66, 188, 16, 179, 66.73
0.63, 0.92, 0.50, 0.65, 184, 16, 183, 66.50
0.64, 0.92, 0.50, 0.65, 182, 15, 185, 66.91
0.65, 0.92, 0.48, 0.63, 177, 15, 190, 66.81
0.66, 0.92, 0.47, 0.62, 173, 15, 194, 66.65
0.67, 0.92, 0.46, 0.62, 170, 15, 197, 66.44
0.68, 0.92, 0.46, 0.61, 169, 15, 198, 66.32
0.69, 0.92, 0.45, 0.60, 165, 14, 202, 66.44
0.70, 0.92, 0.43, 0.59, 159, 14, 208, 66.16
0.71, 0.92, 0.43, 0.59, 158, 14, 209, 66.09
0.72, 0.92, 0.41, 0.57, 151, 14, 216, 65.45
0.73, 0.93, 0.41, 0.57, 151, 12, 216, 66.25
0.74, 0.93, 0.41, 0.56, 149, 12, 218, 66.24
0.75, 0.92, 0.39, 0.55, 143, 12, 224, 65.88
0.76, 0.92, 0.38, 0.54, 139, 12, 228, 65.76
0.77, 0.93, 0.37, 0.53, 136, 11, 231, 66.11
0.78, 0.92, 0.36, 0.52, 132, 11, 235, 65.99
0.79, 0.93, 0.35, 0.51, 128, 10, 239, 66.17
0.80, 0.93, 0.34, 0.50, 125, 9, 242, 66.55
0.81, 0.93, 0.33, 0.49, 121, 9, 246, 66.42
0.82, 0.93, 0.33, 0.48, 120, 9, 247, 66.33
0.83, 0.93, 0.32, 0.47, 117, 9, 250, 66.04
0.84, 0.93, 0.31, 0.47, 114, 9, 253, 65.93
0.85, 0.93, 0.29, 0.45, 108, 8, 259, 66.46
0.86, 0.93, 0.28, 0.43, 103, 8, 264, 66.26
0.87, 0.93, 0.26, 0.40, 94, 7, 273, 66.86
0.88, 0.93, 0.23, 0.37, 84, 6, 283, 67.03
0.89, 0.94, 0.20, 0.32, 72, 5, 295, 67.57
0.90, 0.96, 0.18, 0.30, 66, 3, 301, 70.16
0.91, 0.95, 0.16, 0.27, 58, 3, 309, 70.16
0.92, 1.00, 0.14, 0.25, 52, 0, 315, 74.21
0.93, 1.00, 0.11, 0.20, 40, 0, 327, 73.55
0.94, 1.00, 0.09, 0.17, 34, 0, 333, 75.22
0.95, 1.00, 0.08, 0.15, 29, 0, 338, 75.49
0.96, 1.00, 0.07, 0.12, 24, 0, 343, 75.67
0.97, 1.00, 0.06, 0.11, 22, 0, 345, 75.32
0.98, 1.00, 0.03, 0.06, 12, 0, 355, 75.64
0.99, 1.00, 0.01, 0.02, 3, 0, 364, 80.53
